,Timestamp,High/Low,Pred(Ft)
308,2020-03-20 19:57:00,Low Tide,0.64
309,2020-03-21 02:14:00,High Tide,8.76
310,2020-03-21 08:06:00,Low Tide,1.16
311,2020-03-21 14:25:00,High Tide,9.56
312,2020-03-21 20:42:00,Low Tide,0.51
313,2020-03-22 02:57:00,High Tide,9.02
314,2020-03-22 08:52:00,Low Tide,0.87
315,2020-03-22 15:08:00,High Tide,9.69
316,2020-03-22 21:21:00,Low Tide,0.41
317,2020-03-23 03:34:00,High Tide,9.25
318,2020-03-23 09:33:00,Low Tide,0.61
319,2020-03-23 15:47:00,High Tide,9.76
320,2020-03-23 21:57:00,Low Tide,0.35
321,2020-03-24 04:09:00,High Tide,9.45
322,2020-03-24 10:11:00,Low Tide,0.41
323,2020-03-24 16:24:00,High Tide,9.76
324,2020-03-24 22:31:00,Low Tide,0.36
325,2020-03-25 04:43:00,High Tide,9.59
326,2020-03-25 10:49:00,Low Tide,0.29
327,2020-03-25 17:01:00,High Tide,9.68
328,2020-03-25 23:06:00,Low Tide,0.44
329,2020-03-26 05:17:00,High Tide,9.66
330,2020-03-26 11:26:00,Low Tide,0.26
331,2020-03-26 17:38:00,High Tide,9.53
332,2020-03-26 23:41:00,Low Tide,0.59
333,2020-03-27 05:51:00,High Tide,9.67
334,2020-03-27 12:04:00,Low Tide,0.32
335,2020-03-27 18:15:00,High Tide,9.31
336,2020-03-28 00:18:00,Low Tide,0.81
337,2020-03-28 06:26:00,High Tide,9.62
338,2020-03-28 12:43:00,Low Tide,0.45
339,2020-03-28 18:54:00,High Tide,9.03
340,2020-03-29 00:56:00,Low Tide,1.08
341,2020-03-29 07:03:00,High Tide,9.52
342,2020-03-29 13:24:00,Low Tide,0.63
343,2020-03-29 19:35:00,High Tide,8.72
344,2020-03-30 01:36:00,Low Tide,1.36
345,2020-03-30 07:44:00,High Tide,9.4
346,2020-03-30 14:10:00,Low Tide,0.82
347,2020-03-30 20:21:00,High Tide,8.42
348,2020-03-31 02:22:00,Low Tide,1.62
349,2020-03-31 08:31:00,High Tide,9.29
350,2020-03-31 15:01:00,Low Tide,0.97
351,2020-03-31 21:12:00,High Tide,8.21
352,2020-04-01 03:14:00,Low Tide,1.78
353,2020-04-01 09:23:00,High Tide,9.25
354,2020-04-01 15:57:00,Low Tide,1.01
355,2020-04-01 22:09:00,High Tide,8.15
356,2020-04-02 04:11:00,Low Tide,1.77
357,2020-04-02 10:22:00,High Tide,9.34
358,2020-04-02 16:55:00,Low Tide,0.88
359,2020-04-02 23:08:00,High Tide,8.31
360,2020-04-03 05:11:00,Low Tide,1.55
361,2020-04-03 11:23:00,High Tide,9.59
362,2020-04-03 17:55:00,Low Tide,0.57
363,2020-04-04 00:09:00,High Tide,8.73
364,2020-04-04 06:13:00,Low Tide,1.08
365,2020-04-04 12:26:00,High Tide,9.99
366,2020-04-04 18:54:00,Low Tide,0.1
367,2020-04-05 01:07:00,High Tide,9.36
368,2020-04-05 07:13:00,Low Tide,0.4
369,2020-04-05 13:26:00,High Tide,10.51
370,2020-04-05 19:49:00,Low Tide,-0.45
371,2020-04-06 02:01:00,High Tide,10.12
372,2020-04-06 08:10:00,Low Tide,-0.38
373,2020-04-06 14:22:00,High Tide,11.0
374,2020-04-06 20:40:00,Low Tide,-0.95
375,2020-04-07 02:51:00,High Tide,10.85
376,2020-04-07 09:03:00,Low Tide,-1.1
377,2020-04-07 15:15:00,High Tide,11.35
378,2020-04-07 21:30:00,Low Tide,-1.29
379,2020-04-08 03:40:00,High Tide,11.44
380,2020-04-08 09:55:00,Low Tide,-1.64
381,2020-04-08 16:08:00,High Tide,11.47
382,2020-04-08 22:19:00,Low Tide,-1.41
383,2020-04-09 04:29:00,High Tide,11.8
384,2020-04-09 10:47:00,Low Tide,-1.92
385,2020-04-09 17:00:00,High Tide,11.37
386,2020-04-09 23:08:00,Low Tide,-1.27
387,2020-04-10 05:19:00,High Tide,11.89
388,2020-04-10 11:38:00,Low Tide,-1.89
389,2020-04-10 17:53:00,High Tide,11.05
390,2020-04-10 23:57:00,Low Tide,-0.9
391,2020-04-11 06:09:00,High Tide,11.71
392,2020-04-11 12:30:00,Low Tide,-1.57
393,2020-04-11 18:46:00,High Tide,10.56
394,2020-04-12 00:47:00,Low Tide,-0.35
395,2020-04-12 07:00:00,High Tide,11.3
396,2020-04-12 13:24:00,Low Tide,-1.03
397,2020-04-12 19:41:00,High Tide,9.96
398,2020-04-13 01:40:00,Low Tide,0.31
399,2020-04-13 07:54:00,High Tide,10.72
400,2020-04-13 14:20:00,Low Tide,-0.38
401,2020-04-13 20:39:00,High Tide,9.36
402,2020-04-14 02:37:00,Low Tide,0.95
403,2020-04-14 08:52:00,High Tide,10.11
404,2020-04-14 15:21:00,Low Tide,0.25
405,2020-04-14 21:42:00,High Tide,8.88
406,2020-04-15 03:38:00,Low Tide,1.47
407,2020-04-15 09:55:00,High Tide,9.59
408,2020-04-15 16:23:00,Low Tide,0.73
409,2020-04-15 22:47:00,High Tide,8.6
410,2020-04-16 04:41:00,Low Tide,1.76
411,2020-04-16 11:00:00,High Tide,9.24
412,2020-04-16 17:26:00,Low Tide,1.03
413,2020-04-16 23:51:00,High Tide,8.54
414,2020-04-17 05:45:00,Low Tide,1.82
415,2020-04-17 12:05:00,High Tide,9.11
416,2020-04-17 18:27:00,Low Tide,1.14
417,2020-04-18 00:50:00,High Tide,8.69
418,2020-04-18 06:46:00,Low Tide,1.66
419,2020-04-18 13:05:00,High Tide,9.14
420,2020-04-18 19:22:00,Low Tide,1.1
421,2020-04-19 01:40:00,High Tide,8.95
422,2020-04-19 07:40:00,Low Tide,1.36
423,2020-04-19 13:56:00,High Tide,9.27
